,author_pair,co-paper_id,co-times,authors_paper_num,co-occurrence_val
11612,"('Gross O', 'Brunak S')",[],0,"(1, 1)",0.0
11613,"('Gross O', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(1, 1)",0.0
11614,"('Gross O', 'Lamlertthon W')",[],0,"(1, 1)",0.0
11615,"('Gross O', 'Guo J')",[],0,"(1, 1)",0.0
11616,"('Gross O', 'Peng F')",[],0,"(1, 1)",0.0
11617,"('Gross O', 'Bartoletti D')",[],0,"(1, 1)",0.0
11618,"('Gross O', 'Hu R')",[],0,"(1, 1)",0.0
11619,"('Gross O', 'Ferreira A')",[],0,"(1, 1)",0.0
11620,"('Gross O', 'Gerasimov AV')",[],0,"(1, 1)",0.0
11621,"('Gross O', 'Garosi G')",[10],1,"(1, 1)",1.0
11622,"('Gross O', 'Song G')",[],0,"(1, 1)",0.0
11623,"('Gross O', 'Zhang M')",[],0,"(1, 1)",0.0
11624,"('Gross O', 'Zhou C')",[],0,"(1, 1)",0.0
11625,"('Gross O', 'Peng D')",[],0,"(1, 1)",0.0
11626,"('Gross O', 'Chen YM.')",[],0,"(1, 1)",0.0
11627,"('Tieghi A', 'Pichiecchio A')",[],0,"(1, 1)",0.0
11628,"('Tieghi A', 'Bosi C')",[9],1,"(1, 1)",1.0
11629,"('Tieghi A', 'Bonifacio M')",[9],1,"(1, 1)",1.0
11630,"('Tieghi A', 'Polverelli N')",[9],1,"(1, 1)",1.0
11631,"('Tieghi A', 'Savige J')",[],0,"(1, 1)",0.0
11632,"('Tieghi A', 'Bianchini D')",[],0,"(1, 1)",0.0
11633,"('Tieghi A', 'Blanc JF')",[],0,"(1, 1)",0.0
11634,"('Tieghi A', 'Chen W')",[],0,"(1, 1)",0.0
11635,"('Tieghi A', 'Hunt J')",[],0,"(1, 1)",0.0
11636,"('Tieghi A', 'Carecchio M')",[],0,"(1, 1)",0.0
11637,"('Tieghi A', 'Iurlo A')",[9],1,"(1, 1)",1.0
11638,"('Tieghi A', 'Storey H.')",[],0,"(1, 1)",0.0
11639,"('Tieghi A', 'Ding C')",[],0,"(1, 1)",0.0
11640,"('Tieghi A', ""D'Adda M"")",[9],1,"(1, 1)",1.0
11641,"('Tieghi A', 'Zhu J.')",[],0,"(1, 1)",0.0
11642,"('Tieghi A', 'Ye X')",[],0,"(1, 1)",0.0
11643,"('Tieghi A', 'Peck-Radosavljevic M')",[],0,"(1, 1)",0.0
11644,"('Tieghi A', 'Mari F')",[],0,"(1, 1)",0.0
11645,"('Tieghi A', 'Abruzzese E')",[9],1,"(1, 1)",1.0
11646,"('Tieghi A', 'Crugnola M')",[9],1,"(1, 1)",1.0
11647,"('Tieghi A', 'Huang C')",[],0,"(1, 1)",0.0
11648,"('Tieghi A', 'de Oliveira FM')",[],0,"(1, 1)",0.0
11649,"('Tieghi A', 'Heidel F')",[9],1,"(1, 1)",1.0
11650,"('Tieghi A', 'Shi Y')",[],0,"(1, 1)",0.0
11651,"('Tieghi A', 'Ryoo BY')",[],0,"(1, 1)",0.0
11652,"('Tieghi A', 'Yau T')",[],0,"(1, 1)",0.0
11653,"('Tieghi A', 'Seed G')",[],0,"(1, 1)",0.0
11654,"('Tieghi A', 'Bertan C')",[],0,"(1, 1)",0.0
11655,"('Tieghi A', 'Chiapparini L')",[],0,"(1, 1)",0.0
11656,"('Tieghi A', 'Xu J')",[],0,"(1, 1)",0.0
11657,"('Tieghi A', 'Miranda S')",[],0,"(1, 1)",0.0
11658,"('Tieghi A', 'Quan L')",[],0,"(1, 1)",0.0
11659,"('Tieghi A', 'Ping G')",[],0,"(1, 1)",0.0
11660,"('Tieghi A', 'Juravlev ES')",[],0,"(1, 1)",0.0
11661,"('Tieghi A', 'Renieri A')",[],0,"(1, 1)",0.0
11662,"('Tieghi A', 'Xu YP')",[],0,"(1, 1)",0.0
11663,"('Tieghi A', 'Nava Rodrigues D')",[],0,"(1, 1)",0.0
11664,"('Tieghi A', 'Flinter F')",[],0,"(1, 1)",0.0
11665,"('Tieghi A', 'Zhang Z.')",[],0,"(1, 1)",0.0
11666,"('Tieghi A', 'Gale DP')",[],0,"(1, 1)",0.0
11667,"('Tieghi A', 'Hu J')",[],0,"(1, 1)",0.0
11668,"('Tieghi A', 'Balahonova EA')",[],0,"(1, 1)",0.0
11669,"('Tieghi A', 'Shagam L')",[],0,"(1, 1)",0.0
11670,"('Tieghi A', 'Riisnaes R')",[],0,"(1, 1)",0.0
11671,"('Tieghi A', 'Isidori A')",[9],1,"(1, 1)",1.0
11672,"('Tieghi A', 'Perez Duenas B; Cerebral Calcification International Study Group.')",[],0,"(1, 1)",0.0
11673,"('Tieghi A', 'Menale B')",[],0,"(1, 1)",0.0
11674,"('Tieghi A', 'Stepanov GA')",[],0,"(1, 1)",0.0
