,author_pair,co-paper_id,co-times,authors_paper_num,co-occurrence_val
11703,"('Tieghi A', 'Zhou Q')",[],0,"(1, 1)",0.0
11704,"('Tieghi A', 'Garavaglia B')",[],0,"(1, 1)",0.0
11705,"('Tieghi A', 'Zhang T')",[],0,"(1, 1)",0.0
11706,"('Tieghi A', 'Liang L')",[],0,"(1, 1)",0.0
11707,"('Tieghi A', 'Orcesi S.')",[],0,"(1, 1)",0.0
11708,"('Tieghi A', 'Kuligina EV')",[],0,"(1, 1)",0.0
11709,"('Tieghi A', 'Nardocci N')",[],0,"(1, 1)",0.0
11710,"('Tieghi A', 'Ding Y')",[],0,"(1, 1)",0.0
11711,"('Tieghi A', 'Palumbo GA')",[9],1,"(1, 1)",1.0
11712,"('Tieghi A', 'Shi LP')",[],0,"(1, 1)",0.0
11713,"('Tieghi A', 'Huang Z')",[],0,"(1, 1)",0.0
11714,"('Tieghi A', 'Chuai S')",[],0,"(1, 1)",0.0
11715,"('Tieghi A', 'Torra R')",[],0,"(1, 1)",0.0
11716,"('Tieghi A', 'Liu S')",[],0,"(1, 1)",0.0
11717,"('Tieghi A', 'An T')",[],0,"(1, 1)",0.0
11718,"('Tieghi A', 'Guida M.')",[],0,"(1, 1)",0.0
11719,"('Tieghi A', 'Cao Y')",[],0,"(1, 1)",0.0
11720,"('Tieghi A', 'Huang W')",[],0,"(1, 1)",0.0
11721,"('Tieghi A', 'Zhao Q')",[],0,"(1, 1)",0.0
11722,"('Tieghi A', 'Cavazzini F')",[9],1,"(1, 1)",1.0
11723,"('Tieghi A', 'Yeo W')",[],0,"(1, 1)",0.0
11724,"('Tieghi A', 'Brunak S')",[],0,"(1, 1)",0.0
11725,"('Tieghi A', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(1, 1)",0.0
11726,"('Tieghi A', 'Lamlertthon W')",[],0,"(1, 1)",0.0
11727,"('Tieghi A', 'Guo J')",[],0,"(1, 1)",0.0
11728,"('Tieghi A', 'Peng F')",[],0,"(1, 1)",0.0
11729,"('Tieghi A', 'Bartoletti D')",[9],1,"(1, 1)",1.0
11730,"('Tieghi A', 'Hu R')",[],0,"(1, 1)",0.0
11731,"('Tieghi A', 'Ferreira A')",[],0,"(1, 1)",0.0
11732,"('Tieghi A', 'Gerasimov AV')",[],0,"(1, 1)",0.0
11733,"('Tieghi A', 'Garosi G')",[],0,"(1, 1)",0.0
11734,"('Tieghi A', 'Song G')",[],0,"(1, 1)",0.0
11735,"('Tieghi A', 'Zhang M')",[],0,"(1, 1)",0.0
11736,"('Tieghi A', 'Zhou C')",[],0,"(1, 1)",0.0
11737,"('Tieghi A', 'Peng D')",[],0,"(1, 1)",0.0
11738,"('Tieghi A', 'Chen YM.')",[],0,"(1, 1)",0.0
11739,"('Pichiecchio A', 'Bosi C')",[],0,"(1, 1)",0.0
11740,"('Pichiecchio A', 'Bonifacio M')",[],0,"(1, 1)",0.0
11741,"('Pichiecchio A', 'Polverelli N')",[],0,"(1, 1)",0.0
11742,"('Pichiecchio A', 'Savige J')",[],0,"(1, 1)",0.0
11743,"('Pichiecchio A', 'Bianchini D')",[],0,"(1, 1)",0.0
11744,"('Pichiecchio A', 'Blanc JF')",[],0,"(1, 1)",0.0
11745,"('Pichiecchio A', 'Chen W')",[],0,"(1, 1)",0.0
11746,"('Pichiecchio A', 'Hunt J')",[],0,"(1, 1)",0.0
11747,"('Pichiecchio A', 'Carecchio M')",[3],1,"(1, 1)",1.0
11748,"('Pichiecchio A', 'Iurlo A')",[],0,"(1, 1)",0.0
11749,"('Pichiecchio A', 'Storey H.')",[],0,"(1, 1)",0.0
11750,"('Pichiecchio A', 'Ding C')",[],0,"(1, 1)",0.0
11751,"('Pichiecchio A', ""D'Adda M"")",[],0,"(1, 1)",0.0
11752,"('Pichiecchio A', 'Zhu J.')",[],0,"(1, 1)",0.0
11753,"('Pichiecchio A', 'Ye X')",[],0,"(1, 1)",0.0
11754,"('Pichiecchio A', 'Peck-Radosavljevic M')",[],0,"(1, 1)",0.0
11755,"('Pichiecchio A', 'Mari F')",[],0,"(1, 1)",0.0
11756,"('Pichiecchio A', 'Abruzzese E')",[],0,"(1, 1)",0.0
11757,"('Pichiecchio A', 'Crugnola M')",[],0,"(1, 1)",0.0
11758,"('Pichiecchio A', 'Huang C')",[],0,"(1, 1)",0.0
11759,"('Pichiecchio A', 'de Oliveira FM')",[],0,"(1, 1)",0.0
11760,"('Pichiecchio A', 'Heidel F')",[],0,"(1, 1)",0.0
11761,"('Pichiecchio A', 'Shi Y')",[],0,"(1, 1)",0.0
11762,"('Pichiecchio A', 'Ryoo BY')",[],0,"(1, 1)",0.0
11763,"('Pichiecchio A', 'Yau T')",[],0,"(1, 1)",0.0
11764,"('Pichiecchio A', 'Seed G')",[],0,"(1, 1)",0.0
11765,"('Pichiecchio A', 'Bertan C')",[],0,"(1, 1)",0.0
11766,"('Pichiecchio A', 'Chiapparini L')",[3],1,"(1, 1)",1.0
11767,"('Pichiecchio A', 'Xu J')",[],0,"(1, 1)",0.0
11768,"('Pichiecchio A', 'Miranda S')",[],0,"(1, 1)",0.0
11769,"('Pichiecchio A', 'Quan L')",[],0,"(1, 1)",0.0
11770,"('Pichiecchio A', 'Ping G')",[],0,"(1, 1)",0.0
11771,"('Pichiecchio A', 'Juravlev ES')",[],0,"(1, 1)",0.0
11772,"('Pichiecchio A', 'Renieri A')",[],0,"(1, 1)",0.0
11773,"('Pichiecchio A', 'Xu YP')",[],0,"(1, 1)",0.0
11774,"('Pichiecchio A', 'Nava Rodrigues D')",[],0,"(1, 1)",0.0
11775,"('Pichiecchio A', 'Flinter F')",[],0,"(1, 1)",0.0
11776,"('Pichiecchio A', 'Zhang Z.')",[],0,"(1, 1)",0.0
11777,"('Pichiecchio A', 'Gale DP')",[],0,"(1, 1)",0.0
11778,"('Pichiecchio A', 'Hu J')",[],0,"(1, 1)",0.0
11779,"('Pichiecchio A', 'Balahonova EA')",[],0,"(1, 1)",0.0
11780,"('Pichiecchio A', 'Shagam L')",[],0,"(1, 1)",0.0
11781,"('Pichiecchio A', 'Riisnaes R')",[],0,"(1, 1)",0.0
11782,"('Pichiecchio A', 'Isidori A')",[],0,"(1, 1)",0.0
11783,"('Pichiecchio A', 'Perez Duenas B; Cerebral Calcification International Study Group.')",[3],1,"(1, 1)",1.0
11784,"('Pichiecchio A', 'Menale B')",[],0,"(1, 1)",0.0
11785,"('Pichiecchio A', 'Stepanov GA')",[],0,"(1, 1)",0.0
11786,"('Pichiecchio A', 'Jiang Y')",[],0,"(1, 1)",0.0
11787,"('Pichiecchio A', 'Kocsis J')",[],0,"(1, 1)",0.0
11788,"('Pichiecchio A', 'Reale C')",[3],1,"(1, 1)",1.0
11789,"('Pichiecchio A', 'Koval OA.')",[],0,"(1, 1)",0.0
11790,"('Pichiecchio A', 'Mazzaferro V')",[],0,"(1, 1)",0.0
11791,"('Pichiecchio A', 'Di Maio A')",[],0,"(1, 1)",0.0
11792,"('Pichiecchio A', 'Boysen G')",[],0,"(1, 1)",0.0
11793,"('Pichiecchio A', 'Panteghini C')",[3],1,"(1, 1)",1.0
11794,"('Pichiecchio A', 'Lin Y')",[],0,"(1, 1)",0.0
11795,"('Pichiecchio A', 'Christova R')",[],0,"(1, 1)",0.0
11796,"('Pichiecchio A', 'Merle P')",[],0,"(1, 1)",0.0
11797,"('Pichiecchio A', 'Aziz S')",[],0,"(1, 1)",0.0
11798,"('Pichiecchio A', 'Zhu G')",[],0,"(1, 1)",0.0
11799,"('Pichiecchio A', 'Choo SP')",[],0,"(1, 1)",0.0
11800,"('Pichiecchio A', 'Yin K')",[],0,"(1, 1)",0.0
11801,"('Pichiecchio A', 'Dao T')",[],0,"(1, 1)",0.0
11802,"('Pichiecchio A', 'Hoefele J')",[],0,"(1, 1)",0.0
11803,"('Pichiecchio A', 'Nagel M')",[],0,"(1, 1)",0.0
11804,"('Pichiecchio A', 'Figueiredo I')",[],0,"(1, 1)",0.0
11805,"('Pichiecchio A', 'Sumanasuriya S')",[],0,"(1, 1)",0.0
11806,"('Pichiecchio A', 'Ma YT')",[],0,"(1, 1)",0.0
11807,"('Pichiecchio A', 'Campistol J')",[3],1,"(1, 1)",1.0
11808,"('Pichiecchio A', 'Tang D')",[],0,"(1, 1)",0.0
11809,"('Pichiecchio A', 'G\xc3\xa9rolami R')",[],0,"(1, 1)",0.0
11810,"('Pichiecchio A', 'Sheng W')",[],0,"(1, 1)",0.0
11811,"('Pichiecchio A', 'Thongsawat S')",[],0,"(1, 1)",0.0
11812,"('Pichiecchio A', 'Lim HY')",[],0,"(1, 1)",0.0
11813,"('Pichiecchio A', 'Bergamaschi M')",[],0,"(1, 1)",0.0
11814,"('Pichiecchio A', 'Zhou Q')",[],0,"(1, 1)",0.0
11815,"('Pichiecchio A', 'Garavaglia B')",[3],1,"(1, 1)",1.0
11816,"('Pichiecchio A', 'Zhang T')",[],0,"(1, 1)",0.0
11817,"('Pichiecchio A', 'Liang L')",[],0,"(1, 1)",0.0
11818,"('Pichiecchio A', 'Orcesi S.')",[3],1,"(1, 1)",1.0
11819,"('Pichiecchio A', 'Kuligina EV')",[],0,"(1, 1)",0.0
11820,"('Pichiecchio A', 'Nardocci N')",[3],1,"(1, 1)",1.0
11821,"('Pichiecchio A', 'Ding Y')",[],0,"(1, 1)",0.0
11822,"('Pichiecchio A', 'Palumbo GA')",[],0,"(1, 1)",0.0
11823,"('Pichiecchio A', 'Shi LP')",[],0,"(1, 1)",0.0
11824,"('Pichiecchio A', 'Huang Z')",[],0,"(1, 1)",0.0
11825,"('Pichiecchio A', 'Chuai S')",[],0,"(1, 1)",0.0
11826,"('Pichiecchio A', 'Torra R')",[],0,"(1, 1)",0.0
11827,"('Pichiecchio A', 'Liu S')",[],0,"(1, 1)",0.0
11828,"('Pichiecchio A', 'An T')",[],0,"(1, 1)",0.0
11829,"('Pichiecchio A', 'Guida M.')",[],0,"(1, 1)",0.0
11830,"('Pichiecchio A', 'Cao Y')",[],0,"(1, 1)",0.0
11831,"('Pichiecchio A', 'Huang W')",[],0,"(1, 1)",0.0
11832,"('Pichiecchio A', 'Zhao Q')",[],0,"(1, 1)",0.0
11833,"('Pichiecchio A', 'Cavazzini F')",[],0,"(1, 1)",0.0
11834,"('Pichiecchio A', 'Yeo W')",[],0,"(1, 1)",0.0
11835,"('Pichiecchio A', 'Brunak S')",[],0,"(1, 1)",0.0
11836,"('Pichiecchio A', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(1, 1)",0.0
11837,"('Pichiecchio A', 'Lamlertthon W')",[],0,"(1, 1)",0.0
11838,"('Pichiecchio A', 'Guo J')",[],0,"(1, 1)",0.0
11839,"('Pichiecchio A', 'Peng F')",[],0,"(1, 1)",0.0
11840,"('Pichiecchio A', 'Bartoletti D')",[],0,"(1, 1)",0.0
11841,"('Pichiecchio A', 'Hu R')",[],0,"(1, 1)",0.0
11842,"('Pichiecchio A', 'Ferreira A')",[],0,"(1, 1)",0.0
11843,"('Pichiecchio A', 'Gerasimov AV')",[],0,"(1, 1)",0.0
11844,"('Pichiecchio A', 'Garosi G')",[],0,"(1, 1)",0.0
11845,"('Pichiecchio A', 'Song G')",[],0,"(1, 1)",0.0
11846,"('Pichiecchio A', 'Zhang M')",[],0,"(1, 1)",0.0
11847,"('Pichiecchio A', 'Zhou C')",[],0,"(1, 1)",0.0
11848,"('Pichiecchio A', 'Peng D')",[],0,"(1, 1)",0.0
11849,"('Pichiecchio A', 'Chen YM.')",[],0,"(1, 1)",0.0
11850,"('Bosi C', 'Bonifacio M')",[9],1,"(1, 1)",1.0
11851,"('Bosi C', 'Polverelli N')",[9],1,"(1, 1)",1.0
11852,"('Bosi C', 'Savige J')",[],0,"(1, 1)",0.0
11853,"('Bosi C', 'Bianchini D')",[],0,"(1, 1)",0.0
11854,"('Bosi C', 'Blanc JF')",[],0,"(1, 1)",0.0
11855,"('Bosi C', 'Chen W')",[],0,"(1, 1)",0.0
11856,"('Bosi C', 'Hunt J')",[],0,"(1, 1)",0.0
11857,"('Bosi C', 'Carecchio M')",[],0,"(1, 1)",0.0
11858,"('Bosi C', 'Iurlo A')",[9],1,"(1, 1)",1.0
11859,"('Bosi C', 'Storey H.')",[],0,"(1, 1)",0.0
11860,"('Bosi C', 'Ding C')",[],0,"(1, 1)",0.0
11861,"('Bosi C', ""D'Adda M"")",[9],1,"(1, 1)",1.0
11862,"('Bosi C', 'Zhu J.')",[],0,"(1, 1)",0.0
11863,"('Bosi C', 'Ye X')",[],0,"(1, 1)",0.0
11864,"('Bosi C', 'Peck-Radosavljevic M')",[],0,"(1, 1)",0.0
11865,"('Bosi C', 'Mari F')",[],0,"(1, 1)",0.0
11866,"('Bosi C', 'Abruzzese E')",[9],1,"(1, 1)",1.0
11867,"('Bosi C', 'Crugnola M')",[9],1,"(1, 1)",1.0
11868,"('Bosi C', 'Huang C')",[],0,"(1, 1)",0.0
11869,"('Bosi C', 'de Oliveira FM')",[],0,"(1, 1)",0.0
11870,"('Bosi C', 'Heidel F')",[9],1,"(1, 1)",1.0
11871,"('Bosi C', 'Shi Y')",[],0,"(1, 1)",0.0
11872,"('Bosi C', 'Ryoo BY')",[],0,"(1, 1)",0.0
11873,"('Bosi C', 'Yau T')",[],0,"(1, 1)",0.0
11874,"('Bosi C', 'Seed G')",[],0,"(1, 1)",0.0
11875,"('Bosi C', 'Bertan C')",[],0,"(1, 1)",0.0
11876,"('Bosi C', 'Chiapparini L')",[],0,"(1, 1)",0.0
11877,"('Bosi C', 'Xu J')",[],0,"(1, 1)",0.0
11878,"('Bosi C', 'Miranda S')",[],0,"(1, 1)",0.0
11879,"('Bosi C', 'Quan L')",[],0,"(1, 1)",0.0
11880,"('Bosi C', 'Ping G')",[],0,"(1, 1)",0.0
11881,"('Bosi C', 'Juravlev ES')",[],0,"(1, 1)",0.0
11882,"('Bosi C', 'Renieri A')",[],0,"(1, 1)",0.0
11883,"('Bosi C', 'Xu YP')",[],0,"(1, 1)",0.0
11884,"('Bosi C', 'Nava Rodrigues D')",[],0,"(1, 1)",0.0
11885,"('Bosi C', 'Flinter F')",[],0,"(1, 1)",0.0
11886,"('Bosi C', 'Zhang Z.')",[],0,"(1, 1)",0.0
11887,"('Bosi C', 'Gale DP')",[],0,"(1, 1)",0.0
11888,"('Bosi C', 'Hu J')",[],0,"(1, 1)",0.0
11889,"('Bosi C', 'Balahonova EA')",[],0,"(1, 1)",0.0
11890,"('Bosi C', 'Shagam L')",[],0,"(1, 1)",0.0
11891,"('Bosi C', 'Riisnaes R')",[],0,"(1, 1)",0.0
11892,"('Bosi C', 'Isidori A')",[9],1,"(1, 1)",1.0
11893,"('Bosi C', 'Perez Duenas B; Cerebral Calcification International Study Group.')",[],0,"(1, 1)",0.0
11894,"('Bosi C', 'Menale B')",[],0,"(1, 1)",0.0
11895,"('Bosi C', 'Stepanov GA')",[],0,"(1, 1)",0.0
11896,"('Bosi C', 'Jiang Y')",[],0,"(1, 1)",0.0
11897,"('Bosi C', 'Kocsis J')",[],0,"(1, 1)",0.0
11898,"('Bosi C', 'Reale C')",[],0,"(1, 1)",0.0
11899,"('Bosi C', 'Koval OA.')",[],0,"(1, 1)",0.0
11900,"('Bosi C', 'Mazzaferro V')",[],0,"(1, 1)",0.0
11901,"('Bosi C', 'Di Maio A')",[],0,"(1, 1)",0.0
11902,"('Bosi C', 'Boysen G')",[],0,"(1, 1)",0.0
11903,"('Bosi C', 'Panteghini C')",[],0,"(1, 1)",0.0
11904,"('Bosi C', 'Lin Y')",[],0,"(1, 1)",0.0
11905,"('Bosi C', 'Christova R')",[],0,"(1, 1)",0.0
11906,"('Bosi C', 'Merle P')",[],0,"(1, 1)",0.0
11907,"('Bosi C', 'Aziz S')",[],0,"(1, 1)",0.0
11908,"('Bosi C', 'Zhu G')",[],0,"(1, 1)",0.0
11909,"('Bosi C', 'Choo SP')",[],0,"(1, 1)",0.0
11910,"('Bosi C', 'Yin K')",[],0,"(1, 1)",0.0
11911,"('Bosi C', 'Dao T')",[],0,"(1, 1)",0.0
11912,"('Bosi C', 'Hoefele J')",[],0,"(1, 1)",0.0
11913,"('Bosi C', 'Nagel M')",[],0,"(1, 1)",0.0
11914,"('Bosi C', 'Figueiredo I')",[],0,"(1, 1)",0.0
11915,"('Bosi C', 'Sumanasuriya S')",[],0,"(1, 1)",0.0
11916,"('Bosi C', 'Ma YT')",[],0,"(1, 1)",0.0
11917,"('Bosi C', 'Campistol J')",[],0,"(1, 1)",0.0
11918,"('Bosi C', 'Tang D')",[],0,"(1, 1)",0.0
11919,"('Bosi C', 'G\xc3\xa9rolami R')",[],0,"(1, 1)",0.0
11920,"('Bosi C', 'Sheng W')",[],0,"(1, 1)",0.0
11921,"('Bosi C', 'Thongsawat S')",[],0,"(1, 1)",0.0
11922,"('Bosi C', 'Lim HY')",[],0,"(1, 1)",0.0
11923,"('Bosi C', 'Bergamaschi M')",[9],1,"(1, 1)",1.0
11924,"('Bosi C', 'Zhou Q')",[],0,"(1, 1)",0.0
11925,"('Bosi C', 'Garavaglia B')",[],0,"(1, 1)",0.0
11926,"('Bosi C', 'Zhang T')",[],0,"(1, 1)",0.0
11927,"('Bosi C', 'Liang L')",[],0,"(1, 1)",0.0
11928,"('Bosi C', 'Orcesi S.')",[],0,"(1, 1)",0.0
11929,"('Bosi C', 'Kuligina EV')",[],0,"(1, 1)",0.0
11930,"('Bosi C', 'Nardocci N')",[],0,"(1, 1)",0.0
11931,"('Bosi C', 'Ding Y')",[],0,"(1, 1)",0.0
11932,"('Bosi C', 'Palumbo GA')",[9],1,"(1, 1)",1.0
11933,"('Bosi C', 'Shi LP')",[],0,"(1, 1)",0.0
11934,"('Bosi C', 'Huang Z')",[],0,"(1, 1)",0.0
11935,"('Bosi C', 'Chuai S')",[],0,"(1, 1)",0.0
11936,"('Bosi C', 'Torra R')",[],0,"(1, 1)",0.0
11937,"('Bosi C', 'Liu S')",[],0,"(1, 1)",0.0
11938,"('Bosi C', 'An T')",[],0,"(1, 1)",0.0
11939,"('Bosi C', 'Guida M.')",[],0,"(1, 1)",0.0
11940,"('Bosi C', 'Cao Y')",[],0,"(1, 1)",0.0
11941,"('Bosi C', 'Huang W')",[],0,"(1, 1)",0.0
11942,"('Bosi C', 'Zhao Q')",[],0,"(1, 1)",0.0
11943,"('Bosi C', 'Cavazzini F')",[9],1,"(1, 1)",1.0
11944,"('Bosi C', 'Yeo W')",[],0,"(1, 1)",0.0
11945,"('Bosi C', 'Brunak S')",[],0,"(1, 1)",0.0
11946,"('Bosi C', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(1, 1)",0.0
11947,"('Bosi C', 'Lamlertthon W')",[],0,"(1, 1)",0.0
11948,"('Bosi C', 'Guo J')",[],0,"(1, 1)",0.0
11949,"('Bosi C', 'Peng F')",[],0,"(1, 1)",0.0
11950,"('Bosi C', 'Bartoletti D')",[9],1,"(1, 1)",1.0
11951,"('Bosi C', 'Hu R')",[],0,"(1, 1)",0.0
11952,"('Bosi C', 'Ferreira A')",[],0,"(1, 1)",0.0
11953,"('Bosi C', 'Gerasimov AV')",[],0,"(1, 1)",0.0
11954,"('Bosi C', 'Garosi G')",[],0,"(1, 1)",0.0
11955,"('Bosi C', 'Song G')",[],0,"(1, 1)",0.0
11956,"('Bosi C', 'Zhang M')",[],0,"(1, 1)",0.0
11957,"('Bosi C', 'Zhou C')",[],0,"(1, 1)",0.0
11958,"('Bosi C', 'Peng D')",[],0,"(1, 1)",0.0
11959,"('Bosi C', 'Chen YM.')",[],0,"(1, 1)",0.0
11960,"('Bonifacio M', 'Polverelli N')",[9],1,"(1, 1)",1.0
11961,"('Bonifacio M', 'Savige J')",[],0,"(1, 1)",0.0
11962,"('Bonifacio M', 'Bianchini D')",[],0,"(1, 1)",0.0
11963,"('Bonifacio M', 'Blanc JF')",[],0,"(1, 1)",0.0
11964,"('Bonifacio M', 'Chen W')",[],0,"(1, 1)",0.0
11965,"('Bonifacio M', 'Hunt J')",[],0,"(1, 1)",0.0
11966,"('Bonifacio M', 'Carecchio M')",[],0,"(1, 1)",0.0
11967,"('Bonifacio M', 'Iurlo A')",[9],1,"(1, 1)",1.0
11968,"('Bonifacio M', 'Storey H.')",[],0,"(1, 1)",0.0
11969,"('Bonifacio M', 'Ding C')",[],0,"(1, 1)",0.0
11970,"('Bonifacio M', ""D'Adda M"")",[9],1,"(1, 1)",1.0
11971,"('Bonifacio M', 'Zhu J.')",[],0,"(1, 1)",0.0
11972,"('Bonifacio M', 'Ye X')",[],0,"(1, 1)",0.0
11973,"('Bonifacio M', 'Peck-Radosavljevic M')",[],0,"(1, 1)",0.0
11974,"('Bonifacio M', 'Mari F')",[],0,"(1, 1)",0.0
11975,"('Bonifacio M', 'Abruzzese E')",[9],1,"(1, 1)",1.0
11976,"('Bonifacio M', 'Crugnola M')",[9],1,"(1, 1)",1.0
11977,"('Bonifacio M', 'Huang C')",[],0,"(1, 1)",0.0
11978,"('Bonifacio M', 'de Oliveira FM')",[],0,"(1, 1)",0.0
11979,"('Bonifacio M', 'Heidel F')",[9],1,"(1, 1)",1.0
11980,"('Bonifacio M', 'Shi Y')",[],0,"(1, 1)",0.0
11981,"('Bonifacio M', 'Ryoo BY')",[],0,"(1, 1)",0.0
11982,"('Bonifacio M', 'Yau T')",[],0,"(1, 1)",0.0
11983,"('Bonifacio M', 'Seed G')",[],0,"(1, 1)",0.0
11984,"('Bonifacio M', 'Bertan C')",[],0,"(1, 1)",0.0
11985,"('Bonifacio M', 'Chiapparini L')",[],0,"(1, 1)",0.0
11986,"('Bonifacio M', 'Xu J')",[],0,"(1, 1)",0.0
11987,"('Bonifacio M', 'Miranda S')",[],0,"(1, 1)",0.0
11988,"('Bonifacio M', 'Quan L')",[],0,"(1, 1)",0.0
11989,"('Bonifacio M', 'Ping G')",[],0,"(1, 1)",0.0
11990,"('Bonifacio M', 'Juravlev ES')",[],0,"(1, 1)",0.0
11991,"('Bonifacio M', 'Renieri A')",[],0,"(1, 1)",0.0
11992,"('Bonifacio M', 'Xu YP')",[],0,"(1, 1)",0.0
11993,"('Bonifacio M', 'Nava Rodrigues D')",[],0,"(1, 1)",0.0
11994,"('Bonifacio M', 'Flinter F')",[],0,"(1, 1)",0.0
11995,"('Bonifacio M', 'Zhang Z.')",[],0,"(1, 1)",0.0
11996,"('Bonifacio M', 'Gale DP')",[],0,"(1, 1)",0.0
11997,"('Bonifacio M', 'Hu J')",[],0,"(1, 1)",0.0
11998,"('Bonifacio M', 'Balahonova EA')",[],0,"(1, 1)",0.0
11999,"('Bonifacio M', 'Shagam L')",[],0,"(1, 1)",0.0
12000,"('Bonifacio M', 'Riisnaes R')",[],0,"(1, 1)",0.0
12001,"('Bonifacio M', 'Isidori A')",[9],1,"(1, 1)",1.0
12002,"('Bonifacio M', 'Perez Duenas B; Cerebral Calcification International Study Group.')",[],0,"(1, 1)",0.0
12003,"('Bonifacio M', 'Menale B')",[],0,"(1, 1)",0.0
12004,"('Bonifacio M', 'Stepanov GA')",[],0,"(1, 1)",0.0
12005,"('Bonifacio M', 'Jiang Y')",[],0,"(1, 1)",0.0
12006,"('Bonifacio M', 'Kocsis J')",[],0,"(1, 1)",0.0
12007,"('Bonifacio M', 'Reale C')",[],0,"(1, 1)",0.0
12008,"('Bonifacio M', 'Koval OA.')",[],0,"(1, 1)",0.0
12009,"('Bonifacio M', 'Mazzaferro V')",[],0,"(1, 1)",0.0
12010,"('Bonifacio M', 'Di Maio A')",[],0,"(1, 1)",0.0
12011,"('Bonifacio M', 'Boysen G')",[],0,"(1, 1)",0.0
12012,"('Bonifacio M', 'Panteghini C')",[],0,"(1, 1)",0.0
12013,"('Bonifacio M', 'Lin Y')",[],0,"(1, 1)",0.0
12014,"('Bonifacio M', 'Christova R')",[],0,"(1, 1)",0.0
12015,"('Bonifacio M', 'Merle P')",[],0,"(1, 1)",0.0
12016,"('Bonifacio M', 'Aziz S')",[],0,"(1, 1)",0.0
12017,"('Bonifacio M', 'Zhu G')",[],0,"(1, 1)",0.0
12018,"('Bonifacio M', 'Choo SP')",[],0,"(1, 1)",0.0
12019,"('Bonifacio M', 'Yin K')",[],0,"(1, 1)",0.0
12020,"('Bonifacio M', 'Dao T')",[],0,"(1, 1)",0.0
12021,"('Bonifacio M', 'Hoefele J')",[],0,"(1, 1)",0.0
12022,"('Bonifacio M', 'Nagel M')",[],0,"(1, 1)",0.0
12023,"('Bonifacio M', 'Figueiredo I')",[],0,"(1, 1)",0.0
12024,"('Bonifacio M', 'Sumanasuriya S')",[],0,"(1, 1)",0.0
12025,"('Bonifacio M', 'Ma YT')",[],0,"(1, 1)",0.0
12026,"('Bonifacio M', 'Campistol J')",[],0,"(1, 1)",0.0
12027,"('Bonifacio M', 'Tang D')",[],0,"(1, 1)",0.0
12028,"('Bonifacio M', 'G\xc3\xa9rolami R')",[],0,"(1, 1)",0.0
12029,"('Bonifacio M', 'Sheng W')",[],0,"(1, 1)",0.0
12030,"('Bonifacio M', 'Thongsawat S')",[],0,"(1, 1)",0.0
12031,"('Bonifacio M', 'Lim HY')",[],0,"(1, 1)",0.0
12032,"('Bonifacio M', 'Bergamaschi M')",[9],1,"(1, 1)",1.0
12033,"('Bonifacio M', 'Zhou Q')",[],0,"(1, 1)",0.0
12034,"('Bonifacio M', 'Garavaglia B')",[],0,"(1, 1)",0.0
12035,"('Bonifacio M', 'Zhang T')",[],0,"(1, 1)",0.0
12036,"('Bonifacio M', 'Liang L')",[],0,"(1, 1)",0.0
12037,"('Bonifacio M', 'Orcesi S.')",[],0,"(1, 1)",0.0
12038,"('Bonifacio M', 'Kuligina EV')",[],0,"(1, 1)",0.0
12039,"('Bonifacio M', 'Nardocci N')",[],0,"(1, 1)",0.0
12040,"('Bonifacio M', 'Ding Y')",[],0,"(1, 1)",0.0
12041,"('Bonifacio M', 'Palumbo GA')",[9],1,"(1, 1)",1.0
12042,"('Bonifacio M', 'Shi LP')",[],0,"(1, 1)",0.0
12043,"('Bonifacio M', 'Huang Z')",[],0,"(1, 1)",0.0
12044,"('Bonifacio M', 'Chuai S')",[],0,"(1, 1)",0.0
12045,"('Bonifacio M', 'Torra R')",[],0,"(1, 1)",0.0
12046,"('Bonifacio M', 'Liu S')",[],0,"(1, 1)",0.0
12047,"('Bonifacio M', 'An T')",[],0,"(1, 1)",0.0
12048,"('Bonifacio M', 'Guida M.')",[],0,"(1, 1)",0.0
12049,"('Bonifacio M', 'Cao Y')",[],0,"(1, 1)",0.0
12050,"('Bonifacio M', 'Huang W')",[],0,"(1, 1)",0.0
12051,"('Bonifacio M', 'Zhao Q')",[],0,"(1, 1)",0.0
12052,"('Bonifacio M', 'Cavazzini F')",[9],1,"(1, 1)",1.0
12053,"('Bonifacio M', 'Yeo W')",[],0,"(1, 1)",0.0
12054,"('Bonifacio M', 'Brunak S')",[],0,"(1, 1)",0.0
12055,"('Bonifacio M', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(1, 1)",0.0
12056,"('Bonifacio M', 'Lamlertthon W')",[],0,"(1, 1)",0.0
12057,"('Bonifacio M', 'Guo J')",[],0,"(1, 1)",0.0
12058,"('Bonifacio M', 'Peng F')",[],0,"(1, 1)",0.0
12059,"('Bonifacio M', 'Bartoletti D')",[9],1,"(1, 1)",1.0
12060,"('Bonifacio M', 'Hu R')",[],0,"(1, 1)",0.0
12061,"('Bonifacio M', 'Ferreira A')",[],0,"(1, 1)",0.0
12062,"('Bonifacio M', 'Gerasimov AV')",[],0,"(1, 1)",0.0
12063,"('Bonifacio M', 'Garosi G')",[],0,"(1, 1)",0.0
